,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
2391,3.48828530799537e-73,0.53399405,0.49,0.386,7.57027677541155e-69,Cortex,Solyc01g058670
2392,1.78713771161182e-09,0.533360383,0.543,0.531,3.87844626173998e-05,Cortex,Solyc01g081250
2393,1.49140129761048e-62,0.530295928,0.618,0.58,3.23663909607427e-58,Cortex,Solyc10g049620
2394,1.66534856986961e-80,0.52849802,0.366,0.251,3.61413946633103e-76,Cortex,Solyc07g053920
2395,3.07679798798439e-66,0.527280351,0.62,0.591,6.67726699352373e-62,Cortex,Solyc04g063230
2396,2.99031234129916e-21,0.525739834,0.57,0.536,6.48957584308743e-17,Cortex,Solyc07g042170
2397,5.01013636600084e-48,0.522582718,0.427,0.339,1.0872997941495e-43,Cortex,Solyc02g070210
2398,1.98580157240019e-179,0.521450399,0.306,0.123,4.3095865724229e-175,Cortex,Solyc11g062440
2399,4.15238252962685e-96,0.52065173,0.303,0.166,9.01150056579619e-92,Cortex,Solyc01g109250
2400,6.0827066028462e-59,0.520477121,0.598,0.508,1.32006898694968e-54,Cortex,Solyc04g007890
2401,1.10166151626239e-82,0.519828382,0.388,0.261,2.39082582259263e-78,Cortex,Solyc03g007760
2402,1.30668036171474e-52,0.517383955,0.514,0.472,2.83575772099333e-48,Cortex,Solyc02g082260
2403,5.30318601724538e-94,0.513142812,0.768,0.752,1.15089742946259e-89,Cortex,Solyc09g098540
2404,3.80610774688585e-97,0.512018673,0.33,0.196,8.26001503229166e-93,Cortex,Solyc10g008650
2405,8.96838805937533e-38,0.511459164,0.48,0.422,1.94631957664563e-33,Cortex,Solyc03g114970
2406,8.06931360525913e-150,0.509845545,0.349,0.167,1.75120243861334e-145,Cortex,Solyc03g114030
2407,1.40668179227658e-70,0.509769424,0.684,0.67,3.05278082559862e-66,Cortex,Solyc05g050800
2408,2.80076788842515e-60,0.509148778,0.613,0.552,6.07822647146025e-56,Cortex,Solyc02g082080
2409,6.11760525522464e-103,0.507200212,0.344,0.205,1.32764269248885e-98,Cortex,Solyc01g108530
2410,4.02065021569708e-42,0.506342232,0.523,0.511,8.72561509810581e-38,Cortex,Solyc10g079200
2411,1.60034560465298e-50,0.505789679,0.654,0.632,3.4730700312179e-46,Cortex,Solyc04g011430
2412,6.61071297258144e-97,0.502913528,0.361,0.217,1.43465692930962e-92,Cortex,Solyc07g052240
2413,1.2013581978073e-64,0.502641643,0.616,0.569,2.6071875608814e-60,Cortex,Solyc06g076410
2414,4.07633921168608e-35,0.502504545,0.386,0.321,8.84647135720112e-31,Cortex,Solyc06g035720
2415,2.15979372094013e-64,0.502074056,0.353,0.252,4.68718433318427e-60,Cortex,Solyc06g076040
2416,1.48775892474681e-72,0.500917302,0.653,0.572,3.22873441848552e-68,Cortex,Solyc01g087560
2417,1.61695823866075e-62,0.500151293,0.67,0.662,3.50912276954156e-58,Cortex,Solyc08g061100
2418,3.08175695026252e-35,0.499095081,0.55,0.498,6.68802893345971e-31,Cortex,Solyc08g077780
2419,6.84232588985976e-36,0.496413787,0.345,0.278,1.48492156461736e-31,Cortex,Solyc02g068090
2420,4.10037171488333e-38,0.49613034,0.539,0.526,8.8986266956398e-34,Cortex,Solyc03g097190
2421,2.13064520083549e-169,0.49549549,0.31,0.126,4.62392621485317e-165,Cortex,Solyc06g007170
2422,4.08627356595071e-38,0.492910642,0.41,0.346,8.86803089282623e-34,Cortex,Solyc03g032040
2423,8.5474697520469e-31,0.490704038,0.369,0.306,1.85497188558922e-26,Cortex,Solyc01g100040
2424,7.88451964975778e-39,0.489612268,0.539,0.508,1.71109845439043e-34,Cortex,Solyc05g010425
2425,9.71908858086949e-40,0.486589255,0.356,0.273,2.1092366038203e-35,Cortex,Solyc02g080640
2426,3.28694226645022e-102,0.484782177,0.772,0.803,7.13332210665028e-98,Cortex,Solyc03g083970
2427,2.1532958625663e-105,0.484466469,0.345,0.188,4.67308268094137e-101,Cortex,Solyc03g005200
2428,3.63138467670463e-119,0.481819445,0.856,0.867,7.88083102538438e-115,Cortex,Solyc08g008210
2429,2.01238457716779e-29,0.479751874,0.546,0.525,4.36727700936953e-25,Cortex,Solyc04g071140
2430,1.81532221704625e-44,0.47814075,0.379,0.308,3.93961227543376e-40,Cortex,Solyc09g075070
2431,6.74009024603975e-48,0.475421227,0.589,0.546,1.46273438519555e-43,Cortex,Solyc01g112260
2432,4.50168245347165e-35,0.470001083,0.423,0.375,9.76955126052417e-31,Cortex,Solyc03g007270
2433,1.73460092831161e-98,0.468156096,0.763,0.765,3.76443093462185e-94,Cortex,Solyc01g109520
2434,4.44956235412941e-14,0.46706337,0.406,0.402,9.65644022093164e-10,Cortex,Solyc12g055930
2435,2.14661319561546e-91,0.465737678,0.306,0.171,4.65857995712468e-87,Cortex,Solyc02g082140
2436,4.18314939981536e-46,0.465116061,0.45,0.39,9.0782708274793e-42,Cortex,Solyc08g077240
2437,2.04957488804464e-30,0.462561966,0.561,0.562,4.44798742203449e-26,Cortex,Solyc10g011820
2438,9.35895003117942e-63,0.461066875,0.441,0.316,2.03107933576656e-58,Cortex,Solyc07g008240
2439,1.46293122437154e-202,0.460712811,0.796,0.632,3.17485334313111e-198,Cortex,Solyc09g007920
2440,3.14239563329462e-27,0.460710741,0.383,0.338,6.81962700337598e-23,Cortex,Solyc09g018510
2441,1.40314599192891e-28,0.456656936,0.365,0.305,3.04510743168412e-24,Cortex,Solyc06g073180
2442,7.49218715932372e-76,0.455872974,0.724,0.719,1.62595445731643e-71,Cortex,Solyc01g110120
2443,1.88556447538835e-53,0.455012468,0.364,0.281,4.09205202448779e-49,Cortex,Solyc05g052920
2444,1.13640163864809e-19,0.454890417,0.541,0.541,2.46621883619408e-15,Cortex,Solyc12g099000
2445,5.32800311670323e-112,0.45440569,0.384,0.216,1.15628323638694e-107,Cortex,Solyc01g108280
2446,1.53057734889088e-39,0.453168115,0.49,0.456,3.32165896256299e-35,Cortex,Solyc10g055670
2447,2.55780851310583e-30,0.448296991,0.53,0.514,5.55095603514227e-26,Cortex,Solyc02g081140
2448,1.21506373005884e-05,0.445979335,0.303,0.295,0.263693131,Cortex,Solyc06g064440
2449,5.81231933201158e-28,0.445949653,0.56,0.563,1.26138954143315e-23,Cortex,Solyc03g043960
2450,2.31535669480547e-39,0.444054105,0.539,0.478,5.02478709906684e-35,Cortex,Solyc11g006090
2451,4.79394710997497e-28,0.443985423,0.447,0.414,1.04038240180677e-23,Cortex,Solyc07g062130
2452,7.28390776359892e-32,0.442779559,0.384,0.328,1.58075366285624e-27,Cortex,Solyc03g025730
2453,5.74993398924881e-74,0.441183777,0.423,0.277,1.24785067434678e-69,Cortex,Solyc08g069040
2454,6.76626035744427e-30,0.438640706,0.327,0.255,1.46841382277256e-25,Cortex,Solyc06g048410
2455,6.57056975597705e-30,0.4378656,0.585,0.585,1.42594504844214e-25,Cortex,Solyc12g056580
2456,1.41939681400703e-65,0.435464658,0.432,0.322,3.08037496575805e-61,Cortex,Solyc11g011160
2457,9.96864028707903e-25,0.435156945,0.34,0.274,2.16339431510189e-20,Cortex,Solyc00g500022
2458,3.02095891324293e-61,0.43501107,0.377,0.27,6.55608503351981e-57,Cortex,Solyc06g019170
2459,1.65049110889344e-43,0.434106067,0.404,0.327,3.58189580452054e-39,Cortex,Solyc06g051270
2460,8.28329661990983e-89,0.433397796,0.316,0.183,1.79764103245283e-84,Cortex,Solyc01g106000
2461,2.74307723790432e-28,0.431710022,0.517,0.496,5.95302622169995e-24,Cortex,Solyc08g076360
2462,0.000446958,0.428696129,0.389,0.403,1,Cortex,Solyc08g083330
2463,1.02632283973884e-23,0.427887459,0.45,0.418,2.22732582680124e-19,Cortex,Solyc02g078670
2464,4.90825578911698e-10,0.427364213,0.313,0.289,1.06518967135417e-05,Cortex,Solyc02g078940
2465,2.41242553816913e-39,0.425850028,0.597,0.61,5.23544590293464e-35,Cortex,Solyc12g095790
2466,1.51469647902349e-41,0.422600048,0.773,0.784,3.28719429877677e-37,Cortex,Solyc04g079970
2467,4.29609419772478e-18,0.422248029,0.412,0.383,9.32338362790232e-14,Cortex,Solyc06g073450
2468,4.74908176072567e-14,0.422212076,0.397,0.369,1.03064572371269e-09,Cortex,Solyc12g095910
2469,8.00584021173557e-17,0.419536728,0.425,0.399,1.73742744275085e-12,Cortex,Solyc03g114320
2470,8.90853311634238e-29,0.413288214,0.467,0.432,1.93332985690862e-24,Cortex,Solyc10g011870
2471,2.75890193091578e-31,0.411850108,0.377,0.316,5.98736897047342e-27,Cortex,Solyc08g081180
2472,4.4209986719128e-07,0.411435257,0.303,0.286,0.009594451,Cortex,Solyc11g066130
2473,1.17004133122638e-45,0.4105397,0.651,0.662,2.53922369702749e-41,Cortex,Solyc12g005860
2474,3.83613257969309e-11,0.408883694,0.478,0.486,8.32517492444995e-07,Cortex,Solyc09g090430
2475,4.57351589998771e-51,0.406520409,0.708,0.669,9.92544420615332e-47,Cortex,Solyc10g050890
2476,1.05416799074872e-32,0.40063314,0.604,0.585,2.28775537352288e-28,Cortex,Solyc10g085430
2477,0,4.301570417,0.909,0.512,0,Nonhair,Solyc07g009290
