"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
9.70969867009355e-55,0.533727508991249,0.684,0.596,2.1071988053837e-50,"EXO_iCOR1","Solyc04g015620"
8.84702197942838e-147,0.532407889269247,0.804,0.547,1.91998070997555e-142,"EXO_iCOR1","Solyc02g092580"
1.2686241458928e-77,0.532155367003268,0.739,0.705,2.75316812141656e-73,"EXO_iCOR1","Solyc01g006430"
5.09435945344506e-29,0.531171168757897,0.548,0.514,1.10557788858665e-24,"EXO_iCOR1","Solyc02g081140"
1.91603245023528e-67,0.528768584266695,0.676,0.606,4.15817362350061e-63,"EXO_iCOR1","Solyc08g066110"
8.46331531631633e-77,0.519277052573973,0.766,0.712,1.83670868994697e-72,"EXO_iCOR1","Solyc03g097800"
1.43742521902215e-40,0.517995297113742,0.6,0.566,3.11950021032187e-36,"EXO_iCOR1","Solyc10g007480"
6.35757903469303e-22,0.511304140109557,0.552,0.502,1.37972180210908e-17,"EXO_iCOR1","Solyc08g077780"
1.06996153904386e-72,0.510159708271602,0.793,0.715,2.32203053203298e-68,"EXO_iCOR1","Solyc02g068740"
2.28306456316956e-46,0.507378341729929,0.643,0.561,4.95470671499058e-42,"EXO_iCOR1","Solyc07g066100"
4.6769359248492e-53,0.506939873784087,0.684,0.631,1.01498863441077e-48,"EXO_iCOR1","Solyc02g081160"
1.45418250825537e-69,0.506758822535707,0.769,0.721,3.15586687941581e-65,"EXO_iCOR1","Solyc04g008280"
1.88764872761885e-66,0.506308842619974,0.745,0.692,4.09657526867843e-62,"EXO_iCOR1","Solyc07g049710"
2.67620310241192e-31,0.500183607778469,0.555,0.524,5.80789597285435e-27,"EXO_iCOR1","Solyc01g011040"
0,4.71859919521472,0.98,0.121,0,"Epidermis1","Solyc06g035980"
0,4.20486794992965,0.682,0.041,0,"Epidermis1","Solyc09g075410"
0,4.14506851648421,0.882,0.049,0,"Epidermis1","Solyc02g082090"
0,3.69836101817247,0.844,0.057,0,"Epidermis1","Solyc04g071083"
0,3.60151123114517,0.666,0.044,0,"Epidermis1","Solyc09g090980"
0,3.59885172406807,0.965,0.197,0,"Epidermis1","Solyc12g098780"
0,3.58400380643052,0.861,0.071,0,"Epidermis1","Solyc01g067870"
0,3.55275592788776,0.92,0.067,0,"Epidermis1","Solyc01g009410"
0,3.48696007662622,0.506,0.049,0,"Epidermis1","Solyc04g058100"
0,3.342660022073,0.931,0.133,0,"Epidermis1","Solyc02g093670"
0,3.34186274057559,0.707,0.032,0,"Epidermis1","Solyc03g083870"
0,3.33153141466446,0.98,0.286,0,"Epidermis1","Solyc01g090120"
0,3.18085626267633,0.706,0.032,0,"Epidermis1","Solyc08g080060"
0,3.16621086868164,0.854,0.038,0,"Epidermis1","Solyc10g055197"
0,3.15998814803411,0.837,0.029,0,"Epidermis1","Solyc03g082790"
0,3.03947839272031,0.926,0.297,0,"Epidermis1","Solyc10g050160"
0,2.96172714380792,0.736,0.02,0,"Epidermis1","Solyc02g014300"
0,2.90906765126673,0.84,0.034,0,"Epidermis1","Solyc02g014220"
0,2.89540387287678,0.905,0.302,0,"Epidermis1","Solyc04g014510"
0,2.83962429963154,0.62,0.074,0,"Epidermis1","Solyc10g086710"
0,2.83508630729263,0.583,0.015,0,"Epidermis1","Solyc12g100110"
0,2.79762703909014,0.576,0.016,0,"Epidermis1","Solyc12g100090"
0,2.74100558628178,0.973,0.645,0,"Epidermis1","Solyc12g055830"
0,2.62404159165379,0.647,0.018,0,"Epidermis1","Solyc01g005850"
0,2.61409150929394,0.513,0.011,0,"Epidermis1","Solyc12g049150"
0,2.61172336832675,0.577,0.012,0,"Epidermis1","Solyc12g049070"
0,2.51729422252346,0.79,0.082,0,"Epidermis1","Solyc11g006270"
0,2.46805646194704,0.577,0.012,0,"Epidermis1","Solyc12g100080"
0,2.4223441342564,0.669,0.02,0,"Epidermis1","Solyc01g067370"
0,2.37973318737422,0.577,0.024,0,"Epidermis1","Solyc09g057580"
0,2.29485247003928,0.697,0.019,0,"Epidermis1","Solyc12g049090"
0,2.26992768229136,0.975,0.701,0,"Epidermis1","Solyc01g099520"
0,2.21384411980811,0.694,0.036,0,"Epidermis1","Solyc04g081130"
0,2.15278911460122,0.811,0.139,0,"Epidermis1","Solyc01g091690"
0,2.14890972648247,0.839,0.27,0,"Epidermis1","Solyc11g005150"
0,2.13178118138338,0.934,0.331,0,"Epidermis1","Solyc09g090600"
0,2.11921409423736,0.99,0.725,0,"Epidermis1","Solyc11g011380"
0,2.11859170773321,0.861,0.265,0,"Epidermis1","Solyc06g075650"
0,2.07615274123514,0.791,0.152,0,"Epidermis1","Solyc02g091520"
0,2.06773067618738,0.746,0.035,0,"Epidermis1","Solyc07g043700"
0,2.05295110624748,0.734,0.031,0,"Epidermis1","Solyc07g065420"
0,2.02991393874161,0.689,0.121,0,"Epidermis1","Solyc01g107590"
0,2.02186387425984,0.795,0.132,0,"Epidermis1","Solyc10g081390"
0,2.01425015169489,0.713,0.028,0,"Epidermis1","Solyc04g051270"
0,1.99091422131952,0.95,0.422,0,"Epidermis1","Solyc08g008045"
0,1.98543399298,0.972,0.656,0,"Epidermis1","Solyc01g087020"
0,1.97923940887983,0.776,0.161,0,"Epidermis1","Solyc01g073820"
0,1.97723804116767,0.575,0.019,0,"Epidermis1","Solyc01g109860"
0,1.94197718787817,0.562,0.027,0,"Epidermis1","Solyc01g009370"
0,1.93513116962201,0.568,0.013,0,"Epidermis1","Solyc12g017870"
0,1.89916677924851,0.701,0.051,0,"Epidermis1","Solyc04g077960"
0,1.89548828821592,0.785,0.104,0,"Epidermis1","Solyc11g012270"
0,1.87049736182808,0.761,0.103,0,"Epidermis1","Solyc06g066590"
0,1.86252263707755,0.855,0.33,0,"Epidermis1","Solyc11g006910"
0,1.8232056342568,0.662,0.301,0,"Epidermis1","Solyc07g056420"
0,1.81139576085331,0.642,0.05,0,"Epidermis1","Solyc06g069420"
0,1.79025405711695,0.907,0.502,0,"Epidermis1","Solyc07g065120"
0,1.78974576396132,0.816,0.229,0,"Epidermis1","Solyc07g052660"
0,1.77357105236702,0.98,0.793,0,"Epidermis1","Solyc04g011500"
0,1.76457260725072,0.662,0.02,0,"Epidermis1","Solyc09g014730"
0,1.72952243218887,0.542,0.125,0,"Epidermis1","Solyc04g071070"
0,1.71151119599819,0.687,0.087,0,"Epidermis1","Solyc05g014290"
0,1.70121414170923,0.846,0.273,0,"Epidermis1","Solyc08g066840"
0,1.6941161625122,0.735,0.061,0,"Epidermis1","Solyc12g015920"
0,1.68781393911855,0.832,0.337,0,"Epidermis1","Solyc01g066520"
0,1.67367076597896,0.667,0.045,0,"Epidermis1","Solyc06g083500"
0,1.65283664340063,0.598,0.211,0,"Epidermis1","Solyc09g005420"
0,1.65157160223601,0.802,0.249,0,"Epidermis1","Solyc04g005040"
0,1.62244992665024,0.818,0.4,0,"Epidermis1","Solyc10g076420"
0,1.60728656806952,0.976,0.77,0,"Epidermis1","Solyc12g056250"
0,1.60492483975289,0.896,0.542,0,"Epidermis1","Solyc06g005810"
0,1.58099704997724,0.675,0.155,0,"Epidermis1","Solyc01g112100"
0,1.57481523670479,0.676,0.188,0,"Epidermis1","Solyc02g093250"
0,1.56981496349522,0.775,0.235,0,"Epidermis1","Solyc07g043670"
0,1.56267634146168,0.808,0.269,0,"Epidermis1","Solyc01g099860"
0,1.53986385705783,0.981,0.693,0,"Epidermis1","Solyc09g098510"
0,1.48801552260107,0.704,0.086,0,"Epidermis1","Solyc04g050620"
0,1.47518352907703,0.822,0.35,0,"Epidermis1","Solyc12g057140"
0,1.46618483881431,0.738,0.261,0,"Epidermis1","Solyc12g008680"
