"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,1.233228942633,0.714,0.523,0,"Meristem","Os07g0150200"
9.42222357108617e-281,1.23214093351612,0.62,0.4,2.78681106562016e-276,"Meristem","Os02g0105900"
8.77207359718512e-275,1.22984164019782,0.698,0.522,2.59451620783944e-270,"Meristem","Os12g0508300"
1.29680825933395e-294,1.22798619234066,0.65,0.449,3.83556978863202e-290,"Meristem","Os11g0482000"
2.84150103548196e-293,1.22708180966609,0.678,0.486,8.404307612645e-289,"Meristem","Os02g0111700"
3.25326630636845e-273,1.2250923550114,0.504,0.271,9.62218575434597e-269,"Meristem","Os03g0249400"
4.94542892765765e-272,1.22504748101968,0.564,0.337,1.4627095139333e-267,"Meristem","Os11g0151300"
1.59531348153826e-294,1.21733399678164,0.53,0.279,4.71845868434572e-290,"Meristem","Os01g0686800"
0,1.21496344031185,0.818,0.707,0,"Meristem","Os06g0172600"
0,1.21234871862229,0.718,0.529,0,"Meristem","Os02g0503400"
8.09697821721718e-272,1.21228412884051,0.6,0.392,2.39484324730632e-267,"Meristem","Os07g0613200"
5.44543949129717e-65,1.21090062713004,0.519,0.468,1.61059763834096e-60,"Meristem","Os10g0510000"
0,1.20733545195542,0.792,0.654,0,"Meristem","Os02g0162500"
1.06715762241283e-268,1.19721560817893,0.711,0.563,3.15633209981041e-264,"Meristem","Os11g0433900"
2.7223481189858e-236,1.19650040870271,0.52,0.308,8.05188903152431e-232,"Meristem","Os03g0297300"
1.05149968948616e-269,1.19336820436642,0.59,0.361,3.1100206315932e-265,"Meristem","Os01g0823300"
2.25531318167607e-257,1.19011354433133,0.575,0.367,6.6705397974433e-253,"Meristem","Os08g0359500"
8.25903302587465e-227,1.18597920152275,0.548,0.355,2.44277419806295e-222,"Meristem","Os03g0851000"
0,1.18558667491062,0.779,0.652,0,"Meristem","Os01g0679700"
1.85052080443259e-259,1.17413735438687,0.59,0.378,5.47328538327027e-255,"Meristem","Os02g0229000"
1.17268385175152e-272,1.17020669790146,0.674,0.474,3.46844702832546e-268,"Meristem","Os11g0634500"
2.36675494657236e-267,1.16942118523361,0.537,0.301,7.00015110547708e-263,"Meristem","Os07g0109500"
0,1.16087553873145,0.73,0.573,0,"Meristem","Os07g0662500"
0,1.15216975579822,0.83,0.693,0,"Meristem","Os10g0466700"
7.31840884084179e-223,1.14977367251176,0.55,0.357,2.16456578285577e-218,"Meristem","Os02g0287000"
1.36419166326036e-232,1.14785496226592,0.515,0.305,4.03486968242517e-228,"Meristem","Os06g0571400"
5.18963819291204e-205,1.14183336500039,0.84,0.7,1.53493928831759e-200,"Meristem","Os02g0718100"
9.0210128450946e-218,1.13337669896872,0.65,0.511,2.66814496919363e-213,"Meristem","Os09g0482100"
2.44272116278279e-246,1.12987379894946,0.681,0.497,7.22483638316267e-242,"Meristem","Os02g0797200"
3.2470423940912e-213,1.12664809696571,0.523,0.291,9.60377728900353e-209,"Meristem","Os07g0139600"
0,1.12534905726738,0.884,0.771,0,"Meristem","Os05g0459900"
3.11029416609740e-283,1.11745265991881,0.724,0.592,9.19931705506626e-279,"Meristem","Os12g0150100"
4.00345586480214e-305,1.11682641337881,0.755,0.651,1.18410214113253e-300,"Meristem","Os04g0515300"
1.18338386032848e-255,1.11570505411049,0.633,0.446,3.50009444369354e-251,"Meristem","Os03g0109600"
